Line,Rep,Score,Parental Temp,Experimental Temp
136,8,115,25,25
136,9,96,25,25
136,10,106,25,25
138,1,98,25,25
138,2,82,25,25
138,3,148,25,25
138,4,139,25,25
138,5,100,25,25
138,6,151,25,25
138,7,138,25,25
138,8,122,25,25
138,9,99,25,25
138,10,138,25,25
142,1,72,25,25
142,2,41,25,25
142,3,47,25,25
142,4,45,25,25
142,5,47,25,25
142,6,14,25,25
142,7,44,25,25
142,8,50,25,25
142,9,63,25,25
142,10,47,25,25
149,1,107,25,25
149,2,156,25,25
149,3,120,25,25
149,4,113,25,25
149,5,115,25,25
149,6,136,25,25
149,7,129,25,25
149,8,145,25,25
149,9,75,25,25
149,10,137,25,25
153,1,42,25,25
153,2,37,25,25
153,3,66,25,25
153,4,80,25,25
153,5,80,25,25
153,6,69,25,25
153,7,76,25,25
153,8,52,25,25
153,9,44,25,25
153,10,61,25,25
158,1,23,25,25
158,2,81,25,25
158,3,26,25,25
158,4,13,25,25
158,5,34,25,25
158,6,18,25,25
158,7,45,25,25
158,8,75,25,25
158,9,39,25,25
158,10,49,25,25
161,1,178,25,25
161,2,77,25,25
161,3,173,25,25
161,4,120,25,25
161,5,206,25,25
161,6,194,25,25
161,7,164,25,25
161,8,154,25,25
161,9,160,25,25
161,10,52,25,25
176,1,55,25,25
176,2,103,25,25
176,3,76,25,25
176,4,58,25,25
176,5,71,25,25
176,6,49,25,25
176,7,78,25,25
176,8,101,25,25
176,9,94,25,25
176,10,86,25,25
177,1,96,25,25
177,2,103,25,25
177,3,120,25,25
177,4,107,25,25
177,5,127,25,25
177,6,112,25,25
177,7,97,25,25
177,8,100,25,25
177,9,111,25,25
177,10,91,25,25
181,1,137,25,25
181,2,149,25,25
181,3,137,25,25
181,4,134,25,25
181,5,143,25,25
181,6,160,25,25
181,7,147,25,25
181,8,121,25,25
181,9,101,25,25
181,10,147,25,25
189,1,37,25,25
189,2,42,25,25
189,3,41,25,25
189,4,60,25,25
189,5,116,25,25
189,6,64,25,25
189,7,117,25,25
189,8,136,25,25
189,9,83,25,25
189,10,121,25,25
195,1,185,25,25
195,2,132,25,25
195,3,146,25,25
195,4,169,25,25
195,5,153,25,25
195,6,130,25,25
195,7,111,25,25
195,8,156,25,25
195,9,170,25,25
195,10,135,25,25
208,1,174,25,25
208,2,135,25,25
208,3,135,25,25
208,4,98,25,25
208,5,167,25,25
208,6,131,25,25
208,7,126,25,25
208,8,166,25,25
208,9,167,25,25
208,10,145,25,25
217,1,141,25,25
217,2,130,25,25
217,3,114,25,25
217,4,122,25,25
217,5,118,25,25
217,6,108,25,25
217,7,113,25,25
217,8,114,25,25
217,9,125,25,25
217,10,124,25,25
223,1,81,25,25
223,2,81,25,25
223,3,65,25,25
223,4,48,25,25
223,5,10,25,25
223,6,74,25,25
223,7,25,25,25
223,8,46,25,25
223,9,31,25,25
223,10,46,25,25
227,1,82,25,25
227,2,54,25,25
227,3,103,25,25
227,4,49,25,25
227,5,81,25,25
227,6,72,25,25
227,7,19,25,25
227,8,54,25,25
227,9,94,25,25
227,10,108,25,25
228,1,119,25,25
228,2,108,25,25
228,3,130,25,25
228,4,116,25,25
228,5,117,25,25
228,6,126,25,25
228,7,138,25,25
228,8,125,25,25
228,9,147,25,25
228,10,153,25,25
229,1,123,25,25
229,2,155,25,25
229,3,156,25,25
229,4,148,25,25
229,5,58,25,25
229,6,142,25,25
229,7,156,25,25
229,8,151,25,25
229,9,142,25,25
229,10,180,25,25
233,1,55,25,25
233,2,61,25,25
233,3,86,25,25
233,4,35,25,25
233,5,69,25,25
233,6,53,25,25
233,7,43,25,25
233,8,44,25,25
233,9,104,25,25
233,10,31,25,25
235,1,81,25,25
235,2,103,25,25
235,3,98,25,25
235,4,95,25,25
235,5,87,25,25
235,6,63,25,25
235,7,66,25,25
235,8,112,25,25
235,9,87,25,25
235,10,118,25,25
237,1,75,25,25
237,2,100,25,25
237,3,112,25,25
237,4,103,25,25
237,5,120,25,25
237,6,132,25,25
237,7,119,25,25
237,8,135,25,25
237,9,115,25,25
237,10,121,25,25
239,1,132,25,25
239,2,99,25,25
