female,male,rep,d1_female_dead_at_transfer,d1_male_dead_at_transfer,d1_eggs,d1_d10female,d1_d10male,d1_d13female,d1_d13male,d1_d16female,d1_d16male,d1_d18female,d1_d18male,d2_female_dead_at_transfer,d2_male_dead_at_transfer,d2_eggs,d2_d10female,d2_d10male,d2_d13female,d2_d13male,d2_d16female,d2_d16male
Or49a,375,2,,,79,33,29,0,2,0,0,,,,,32,22,18,0,0,0,0
Or49a,375,3,,,107,20,11,11,22,1,0,,,,,57,21,19,0,1,0,0
Or49a,375,4,,,122,8,7,19,21,0,0,,,,,49,21,18,0,2,0,0
Or49a,375,5,,,114,15,7,10,23,0,0,,,,,62,12,12,5,12,0,0
V60000,375,5,,,117,4,6,22,37,0,0,,,,,56,8,5,15,17,0,0
V60000,375,6,,,92,22,9,23,19,1,1,,,,,46,5,4,7,15,0,0
V60000,375,7,,,75,12,6,12,16,0,0,,,,,50,4,1,8,13,0,0
V60000,375,8,,,54,12,8,3,5,0,0,,,,,62,11,18,3,2,1,1
V60000,375,9,,,72,11,16,13,13,0,0,,,,,57,13,10,5,11,1,0
V60000,375,10,,,71,21,11,3,17,0,0,,,,,58,8,7,11,16,1,0
D2R,379,1,,,55,24,23,3,6,0,0,,,,,24,10,3,0,1,0,0
D2R,379,2,,,17,5,12,0,0,0,0,,,,,21,8,13,2,2,0,0
D2R,379,3,,1,28,7,17,0,1,0,0,,,,,3,1,2,0,0,0,0
D2R,379,4,,,51,13,18,1,1,0,0,,,,,25,2,5,0,0,0,0
D2R,379,5,,,39,16,12,0,0,0,0,,,,,23,6,8,0,0,0,0
CG17003,379,1,,,23,15,10,0,0,0,0,,,,,78,27,9,3,26,1,1
CG17003,379,2,,,82,20,21,16,25,0,0,,,,,41,20,17,0,2,0,0
CG17003,379,3,,,35,14,19,0,0,0,0,,,,,110,0,0,32,27,1,5
CG17003,379,4,,,87,21,19,13,26,1,1,,,,,60,15,16,4,10,0,0
CG17003,379,5,,1,118,7,2,47,50,0,0,,,,,61,13,11,12,13,0,0
U26,379,1,,,95,24,13,28,27,0,0,0,0,,1,47,25,10,5,7,0,1
U26,379,2,,,143,6,2,52,59,2,0,,,,,76,17,15,19,19,0,0
U26,379,3,,1,88,21,11,23,26,0,1,,,,,77,7,8,21,16,1,0
U26,379,4,,1,88,13,5,30,30,0,0,,,,,87,14,8,18,30,0,0
U26,379,5,,1,67,16,8,9,18,0,0,,,,,63,14,10,0,0,0,0
CG7510,379,1,,,74,36,18,16,20,2,0,,,,,21,9,17,0,0,0,0
CG7510,379,2,,,82,25,21,7,28,1,0,0,0,,,27,6,1,8,11,0,0
CG7510,379,3,,1,80,14,26,18,18,0,0,,,,,69,11,11,1,0,0,0
CG7510,379,4,,,160,1,0,47,54,15,13,,,,,78,5,4,21,15,0,0
CG7510,379,5,,,85,14,10,26,15,0,0,,,,,53,5,5,5,11,0,0
CG30048,379,1,,,76,33,22,6,13,1,5,0,0,,,24,7,12,1,3,0,0
CG30048,379,2,,,115,6,2,53,60,2,0,,,,,90,17,14,20,30,0,1
CG30048,379,3,,,125,4,0,41,51,3,2,,,,,54,26,13,0,2,0,0
CG30048,379,4,,,65,23,25,8,17,0,2,0,0,,,52,17,17,3,6,0,0
CG30048,379,5,,,125,14,6,42,46,0,1,0,0,,,33,13,18,0,0,0,0
CG31897,379,1,,,47,21,23,0,0,0,0,,,,,28,18,7,0,4,0,0
CG31897,379,2,,,93,19,9,22,37,1,0,,,,,76,8,5,25,28,0,0
CG31897,379,3,,,83,34,18,6,20,0,3,,,,,87,7,2,25,26,0,0
CG31897,379,4,,,93,22,19,19,25,1,0,,,,,77,20,13,8,21,0,1
CG31897,379,5,,,89,19,21,14,21,2,2,0,1,,,70,21,18,6,10,0,0
Or49a,379,1,,,118,52,20,17,22,0,2,0,0,,,34,18,24,0,1,0,0
Or49a,379,2,,,93,45,32,4,11,1,0,,,,,39,18,19,0,0,0,0
Or49a,379,3,,,52,19,22,4,3,0,0,,,,,48,26,16,1,7,0,0
Or49a,379,4,,,102,20,16,28,26,1,1,,,,,45,27,15,0,2,0,0
Or49a,379,5,,1,122,17,14,35,46,0,2,,,,,59,27,19,2,5,0,0
V60000,379,5,,,78,21,19,9,23,0,1,,,,,69,7,4,18,30,0,2
V60000,379,6,,,71,15,20,8,20,1,1,,,,,67,5,10,26,15,0,0
V60000,379,7,,,131,6,1,46,62,2,0,,,,1,83,11,5,28,25,1,0
V60000,379,8,,,61,22,23,4,9,0,1,,,,,57,20,6,13,13,1,0
V60000,379,9,,,61,22,15,3,11,0,0,,,,,43,19,13,4,4,0,0
V60000,379,10,,1,87,12,6,28,35,0,0,,,,,59,2,1,23,24,1,0
