GENE FBgn0053517
21_F 1.97886252095481
26_F 1.89915372857359
28_F 1.7062740573065
31_F 2.02106924829148
32_F 1.62374389288213
38_F 2.3084221828984
40_F 1.73826338563016
41_F 2.09775695157751
42_F 1.75264144697733
45_F 2.09451211750464
48_F 1.63148091833551
49_F 1.97809459423329
57_F 2.01311436862206
59_F 2.55366185421344
69_F 2.15687057919292
73_F 2.4813858252874
75_F 1.73005249729383
83_F 1.83038310876893
85_F 1.98587303088451
88_F 2.25119783224872
91_F 1.98235689671426
93_F 1.93824283114684
100_F 1.52440792891817
101_F 1.32683968212837
105_F 2.0174717752709
109_F 1.64613880224641
129_F 2.05860601158934
136_F 1.9171716295637
138_F 1.80209492563181
142_F 1.55667622704614
149_F 2.28184574992416
153_F 1.23223520564707
158_F 2.03013946993718
161_F 2.0009506316831
176_F 1.96318819821685
177_F 1.82504029833743
181_F 2.09144205146791
189_F 1.99718140407201
195_F 2.22730980953793
208_F 1.72991622490383
217_F 2.0078510178619
223_F 1.69418884133995
227_F 1.84443423957181
228_F 1.80706316048374
229_F 2.05700342490775
233_F 1.90395310455395
235_F 2.14132358548367
237_F 1.94818105859679
239_F 2.26456162636206
256_F 1.78432572970483
280_F 2.00894426836912
287_F 2.1930867817794
301_F 1.82278047962114
303_F 2.34547168875924
304_F 2.3411970854432
306_F 2.32755328790683
309_F 1.84527097136093
310_F 1.89468529581293
313_F 1.82872517821582
315_F 2.08005354929171
317_F 1.99695458462693
318_F 2.02645028259939
319_F 2.20384316270532
320_F 2.20077379718097
321_F 2.10710610514767
324_F 1.92124997597018
325_F 1.8807662284235
332_F 2.02257267049087
335_F 2.30598157440671
336_F 2.10097386986603
338_F 2.2800241819605
340_F 2.17493412617427
348_F 2.22065888648433
350_F 1.75382220088146
352_F 2.28913525811267
354_F 1.74934078726076
355_F 1.67530708106854
356_F 2.2164104192583
357_F 2.1915811144424
358_F 1.9342364666544
359_F 2.06592633401793
360_F 2.22909642072224
361_F 1.29615048355023
362_F 1.43667949462069
365_F 2.0334006776882
367_F 1.82109490260403
370_F 1.9120983431926
371_F 1.94060329575323
373_F 2.12263677028514
374_F 2.00606407207988
375_F 2.15294303393896
377_F 1.84270053279723
379_F 2.15506074045684
380_F 1.92863163310083
381_F 1.83186377078469
382_F 1.95948020587962
383_F 2.06244560908128
385_F 2.35114387415549
386_F 2.30981810851278
390_F 2.08226447086463
391_F 1.940671161777
392_F 2.06340363042102
395_F 2.36579923670827
397_F 2.06440119145699
399_F 2.07624876628076
405_F 1.97692713087925
406_F 2.01507277580576
409_F 1.90735931523712
426_F 1.47184568337711
427_F 2.12331244174902
437_F 2.26206428689482
439_F 2.19326128074308
440_F 1.91837945644861
441_F 1.62184514820695
443_F 1.7205708132403
461_F 1.6507346978824
486_F 2.06656634898565
491_F 1.98963796808821
492_F 2.08174007677827
502_F 1.70899967193565
505_F 1.88382641050549
508_F 2.04074361391844
509_F 2.01080473500291
513_F 1.83951539259799
517_F 1.92193348492807
528_F 1.72905786644326
530_F 1.89602014780962
531_F 1.88460614475652
535_F 1.79670892477098
551_F 2.47454813432893
555_F 2.02183490716171
559_F 2.35085961703933
563_F 1.95047442434587
566_F 2.26384407777963
584_F 1.92563412487308
589_F 2.54812375080485
595_F 1.4908766125692
596_F 1.76977904008416
627_F 1.95453407971344
630_F 2.03363333670319
634_F 1.3159961185863
639_F 2.19225688918686
642_F 1.84171638529099
703_F 2.17269008318993
705_F 1.80382762113618
707_F 1.8750079633508
712_F 2.22153533420335
714_F 2.06839638409608
716_F 2.33642202726029
721_F 2.2436557270752
727_F 1.59920235779689
730_F 2.09837427572563
732_F 2.29612021890652
737_F 2.14295644635123
738_F 1.84277011788397
748_F 1.93883997907483
757_F 1.80647189467273
761_F 1.9757767725198
765_F 1.97490898453095
774_F 2.25887516197928
776_F 1.97481140231648
783_F 1.83291224837199
786_F 2.33954507826958
787_F 2.51686852470044
790_F 1.82676089957138
796_F 1.87474513435387
799_F 2.01478866543007
801_F 2.24167192802024
802_F 1.92347110458107
804_F 1.83411052811129
805_F 1.90980184762892
808_F 1.5422300470599
810_F 1.9279519880884
812_F 1.98843004996013
818_F 1.73007268059217
819_F 2.03151121249362
820_F 2.22357259449946
821_F 2.11590364202359
822_F 2.26372733344626
832_F 2.21760034299244
837_F 1.93153774277708
843_F 2.04136538743602
849_F 1.92574821217408
850_F 1.96729372934634
852_F 2.15125050459862
853_F 1.71464848071448
855_F 1.6367441712205
857_F 1.57723646317679
861_F 2.32593730982902
882_F 2.47369586928841
884_F 2.07344824282224
890_F 2.36462912182157
892_F 1.5296668845752
894_F 1.93326515623239
897_F 2.45584217768127
900_F 1.72512205121784
907_F 2.28110008492669
908_F 1.73906775849156
911_F 1.86746341097959
913_F 1.83882393975519
